UTD;ZONA;TURMA;CARTEIRA;DATA_PEDIDO;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DIA_SEMANA;FLAG_DEF
ITABERABA;217;EPS;CORTE;2022-08-08;6;6;0;2;N
JACOBINA;264;EPS;CORTE;2022-08-10;8;8;0;4;N
CANDEIAS;59;STC;RECORTE;2022-08-05;16;0;16;6;N
BRUMADO;44;EPS;DISJUNTOR;2022-08-05;4;0;4;6;N
LAURO DE FREITAS;294;EPS;CORTE;2022-08-05;19;0;19;6;N
SANTO ANTONIO DE JESUS;434;EPS;CORTE;2022-08-05;12;0;12;6;N
ITABUNA;227;EPS;CORTE;2022-08-25;25;0;25;5;N
ESPLANADA;77;EPS;CORTE;2022-08-02;15;14;1;3;N
JEQUIE;276;EPS;CORTE;2022-08-16;16;15;1;3;N
LUIS EDUARDO MAGALHAES;322;STC;CORTE;2022-08-16;11;11;0;3;N
JACOBINA;260;EPS;CORTE;2022-08-09;9;9;0;3;N
SERRINHA;467;STC;CORTE;2022-08-12;22;22;0;6;N
SERRINHA;456;STC;RECORTE;2022-08-22;11;9;2;2;N
IPIAU;527;EPS;BAIXA;2022-08-04;6;5;1;5;N
CAMACARI;55;EPS;RECORTE;2022-08-18;12;9;3;5;N
GRACA;130;EPS;CORTE;2022-08-19;63;62;1;6;N
JACOBINA;261;STC;CORTE;2022-08-11;37;37;0;5;N
CAMACARI;51;EPS;CORTE;2022-08-16;21;21;0;3;N
PAULO AFONSO;325;STC;CORTE;2022-08-18;16;15;1;5;N
LAURO DE FREITAS;293;EPS;RECORTE;2022-08-18;22;17;5;5;N
ESPLANADA;78;STC;CORTE;2022-08-04;22;22;0;5;N
LUIS EDUARDO MAGALHAES;323;STC;CORTE;2022-08-04;11;11;0;5;N
IBOTIRAMA;157;EPS;CORTE;2022-08-10;5;5;0;4;N
IRECE;197;EPS;CORTE;2022-08-12;13;13;0;6;N
CAMACARI;52;STC;CORTE;2022-08-18;16;15;1;5;N
VITORIA DA CONQUISTA;517;STC;CORTE;2022-08-12;11;11;0;6;N
CAMACARI;52;STC;CORTE;2022-08-16;20;20;0;3;S
JACOBINA;264;EPS;RECORTE;2022-08-11;7;7;0;5;N
PAULO AFONSO;325;EPS;CORTE;2022-08-04;8;7;1;5;N
SANTO ANTONIO DE JESUS;430;STC;CORTE;2022-08-18;13;13;0;5;N
CONCEICAO DO COITE;71;EPS;DISJUNTOR;2022-08-19;6;6;0;6;N
CONCEICAO DO COITE;72;EPS;RECORTE;2022-08-25;6;5;1;5;N
FEIRA DE SANTANA NORTE;110;EPS;RECORTE;2022-08-24;8;5;3;4;N
ITABERABA;217;STC;DISJUNTOR;2022-08-03;20;20;0;4;S
IPIAU;190;STC;CORTE;2022-08-16;13;13;0;3;N
FEIRA DE SANTANA SUL;128;EPS;BAIXA;2022-08-18;3;3;0;5;N
CONCEICAO DO COITE;68;EPS;CORTE;2022-08-23;7;7;0;3;N
GUANAMBI;141;STC;CORTE;2022-08-04;6;6;0;5;N
LAURO DE FREITAS;295;STC;RECORTE;2022-08-08;16;12;4;2;N
FEIRA DE SANTANA NORTE;108;STC;CORTE;2022-08-10;40;37;3;4;S
ITABUNA;172;EPS;CORTE;2022-08-23;23;22;1;3;N
IBOTIRAMA;156;EPS;CORTE;2022-08-22;5;5;0;2;N
PORTO SEGURO;363;EPS;CORTE;2022-08-19;2;2;0;6;N
BARREIRAS;19;STC;CORTE;2022-08-05;6;0;6;6;N
PORTO SEGURO;369;STC;RECORTE;2022-08-09;4;0;4;3;S
FEIRA DE SANTANA NORTE;108;STC;CORTE;2022-08-12;1;1;0;6;N
VITORIA DA CONQUISTA;509;EPS;BAIXA;2022-08-19;18;0;18;6;S
JUAZEIRO;292;EPS;CORTE;2022-08-03;11;11;0;4;N
ILHEUS;178;EPS;DISJUNTOR;2022-08-19;32;27;5;6;N
PIRAJA;352;EPS;CORTE;2022-08-23;39;39;0;3;N
PERIPERI;348;EPS;CORTE;2022-08-19;22;21;1;6;N
PITUBA;359;EPS;CORTE;2022-08-09;20;19;1;3;N
JUAZEIRO;291;EPS;CORTE;2022-08-15;15;15;0;2;N
BOM JESUS DA LAPA;33;STC;CORTE;2022-08-23;16;16;0;3;N
AMARGOSA;11;EPS;CORTE;2022-08-09;18;18;0;3;N
POSTO DA MATA;388;EPS;CORTE;2022-08-09;21;21;0;3;N
PIRAJA;353;EPS;CORTE;2022-08-11;48;45;3;5;N
ILHEUS;179;EPS;RECORTE;2022-08-25;18;18;0;5;N
SANTO AMARO;424;EPS;CORTE;2022-08-08;24;23;1;2;N
BARREIRAS;14;STC;CORTE;2022-08-16;15;15;0;3;N
IRECE;207;EPS;CORTE;2022-08-15;13;13;0;2;N
FEIRA DE SANTANA SUL;122;EPS;CORTE;2022-08-17;18;16;2;4;N
TEIXEIRA DE FREITAS;482;EPS;CORTE;2022-08-09;11;11;0;3;N
ESPLANADA;77;EPS;RECORTE;2022-08-03;8;8;0;4;N
PAULO AFONSO;324;EPS;RECORTE;2022-08-17;9;8;1;4;N
IRECE;193;EPS;CORTE;2022-08-11;39;36;3;5;N
PORTO SEGURO;377;EPS;RECORTE;2022-08-24;16;16;0;4;N
IRECE;211;EPS;RECORTE;2022-08-17;5;5;0;4;N
ITABUNA;227;EPS;CORTE;2022-08-02;16;13;3;3;N
FEIRA DE SANTANA NORTE;110;EPS;BAIXA;2022-08-24;3;3;0;4;N
CAMACARI;55;EPS;BAIXA;2022-08-18;5;5;0;5;N
SANTO ANTONIO DE JESUS;8;EPS;CORTE;2022-08-18;4;4;0;5;N
POSTO DA MATA;379;STC;RECORTE;2022-08-09;17;15;2;3;N
SENHOR DO BONFIM;450;STC;CORTE;2022-08-08;13;9;4;2;N
SEABRA;438;STC;CORTE;2022-08-19;9;8;1;6;N
BRUMADO;38;EPS;CORTE;2022-08-22;6;6;0;2;N
IRECE;193;STC;CORTE;2022-08-25;42;35;7;5;N
PAULO AFONSO;334;EPS;CORTE;2022-08-19;6;6;0;6;N
PORTO SEGURO;373;EPS;CORTE;2022-08-22;2;2;0;2;N
PIRAJA;355;EPS;DISJUNTOR;2022-08-19;26;24;2;6;N
SANTA MARIA DA VITORIA;412;EPS;CORTE;2022-08-12;8;8;0;6;N
LIVRAMENTO DE NOSSA SENHORA;310;EPS;CORTE;2022-08-09;5;5;0;3;N
REMANSO;393;STC;CORTE;2022-08-05;9;0;9;6;N
SEABRA;438;EPS;CORTE;2022-08-05;5;0;5;6;N
IBOTIRAMA;154;STC;CORTE;2022-08-11;9;9;0;5;N
GUANAMBI;150;EPS;CORTE;2022-08-05;7;0;7;6;N
FEIRA DE SANTANA SUL;123;EPS;CORTE;2022-08-05;69;0;69;6;N
FEIRA DE SANTANA SUL;123;STC;CORTE;2022-08-19;1;1;0;6;N
GRACA;134;EPS;BAIXA;2022-08-19;7;0;7;6;S
SANTO AMARO;419;EPS;CORTE;2022-08-19;20;18;2;6;N
PIRAJA;350;STC;CORTE;2022-08-12;17;16;1;6;N
ILHEUS;173;STC;CORTE;2022-08-12;21;21;0;6;N
PITUBA;358;EPS;DISJUNTOR;2022-08-04;12;12;0;5;N
EUNAPOLIS;99;STC;CORTE;2022-08-02;14;13;1;3;N
ESPLANADA;83;STC;CORTE;2022-08-18;11;11;0;5;N
ALAGOINHAS;3;STC;CORTE;2022-08-09;22;21;1;3;N
TEIXEIRA DE FREITAS;480;EPS;DISJUNTOR;2022-08-16;18;17;1;3;N
FEIRA DE SANTANA SUL;122;EPS;RECORTE;2022-08-18;14;11;3;5;N
EUNAPOLIS;87;EPS;RECORTE;2022-08-10;3;3;0;4;N
AMARGOSA;11;EPS;RECORTE;2022-08-10;20;19;1;4;N
ITAPETINGA;238;STC;CORTE;2022-08-19;9;9;0;6;N
IRECE;204;STC;CORTE;2022-08-16;11;11;0;3;N
PITUBA;359;EPS;RECORTE;2022-08-10;33;25;8;4;N
GRACA;129;EPS;CORTE;2022-08-08;27;25;2;2;N
GUANAMBI;146;EPS;CORTE;2022-08-04;7;7;0;5;N
ALAGOINHAS;1;EPS;CORTE;2022-08-19;30;29;1;6;N
SANTO AMARO;421;STC;CORTE;2022-08-09;9;9;0;3;N
PERIPERI;349;STC;RECORTE;2022-08-22;19;16;3;2;N
LIVRAMENTO DE NOSSA SENHORA;310;STC;RECORTE;2022-08-24;17;16;1;4;N
IRECE;192;EPS;RECORTE;2022-08-24;13;13;0;4;N
ILHEUS;175;EPS;RECORTE;2022-08-24;8;8;0;4;N
VITORIA DA CONQUISTA;503;EPS;DISJUNTOR;2022-08-03;16;16;0;4;N
PAULO AFONSO;332;STC;CORTE;2022-08-08;11;10;1;2;N
FEIRA DE SANTANA NORTE;107;EPS;BAIXA;2022-08-11;15;14;1;5;N
FEIRA DE SANTANA SUL;123;STC;RECORTE;2022-08-18;17;5;12;5;S
PITUBA;359;STC;RECORTE;2022-08-22;14;5;9;2;S
ILHEUS;187;STC;CORTE;2022-08-16;12;12;0;3;N
ITAPETINGA;242;STC;RECORTE;2022-08-19;7;4;3;6;S
JUAZEIRO;292;EPS;RECORTE;2022-08-04;11;10;1;5;N
IRECE;205;STC;CORTE;2022-08-04;11;11;0;5;N
REMANSO;392;STC;RECORTE;2022-08-18;11;11;0;5;N
JUAZEIRO;288;STC;CORTE;2022-08-16;8;8;0;3;N
VITORIA DA CONQUISTA;521;EPS;CORTE;2022-08-24;28;28;0;4;N
ESPLANADA;83;EPS;CORTE;2022-08-04;8;8;0;5;N
BRUMADO;35;EPS;CORTE;2022-08-09;6;6;0;3;N
SANTO ANTONIO DE JESUS;428;EPS;CORTE;2022-08-05;12;0;12;6;N
POSTO DA MATA;388;EPS;RECORTE;2022-08-10;4;3;1;4;N
ITAPETINGA;238;EPS;CORTE;2022-08-05;14;0;14;6;N
SANTO AMARO;422;EPS;DISJUNTOR;2022-08-15;3;3;0;2;N
VALENCA;494;EPS;CORTE;2022-08-25;9;0;9;5;N
EUNAPOLIS;92;EPS;CORTE;2022-08-23;14;14;0;3;N
SEABRA;443;EPS;CORTE;2022-08-19;11;11;0;6;N
FEIRA DE SANTANA SUL;128;EPS;CORTE;2022-08-19;16;16;0;6;N
ITAPOAN;252;EPS;CORTE;2022-08-24;12;11;1;4;S
FEIRA DE SANTANA NORTE;116;EPS;CORTE;2022-08-02;24;24;0;3;N
PERIPERI;347;EPS;CORTE;2022-08-08;42;41;1;2;N
ITABUNA;233;EPS;CORTE;2022-08-04;17;16;1;5;N
BARREIRAS;20;STC;CORTE;2022-08-18;21;19;2;5;N
ITAPOAN;254;EPS;CORTE;2022-08-02;23;23;0;3;N
IRECE;200;STC;CORTE;2022-08-15;11;11;0;2;N
EUNAPOLIS;87;EPS;BAIXA;2022-08-10;3;2;1;4;N
ESPLANADA;78;EPS;CORTE;2022-08-15;14;14;0;2;N
ALAGOINHAS;2;STC;RECORTE;2022-08-22;16;12;4;2;N
JEQUIE;273;EPS;BAIXA;2022-08-04;19;18;1;5;N
SANTO AMARO;419;EPS;DISJUNTOR;2022-08-02;2;1;1;3;N
IRECE;204;STC;RECORTE;2022-08-17;21;17;4;4;N
IRECE;192;EPS;BAIXA;2022-08-24;1;1;0;4;N
AMARGOSA;11;EPS;BAIXA;2022-08-10;4;4;0;4;N
JEQUIE;279;STC;CORTE;2022-08-19;11;11;0;6;N
AMARGOSA;7;STC;RECORTE;2022-08-23;17;17;0;3;N
FEIRA DE SANTANA SUL;122;EPS;BAIXA;2022-08-18;6;6;0;5;N
SERRINHA;467;EPS;CORTE;2022-08-23;7;7;0;3;N
BOM JESUS DA LAPA;30;EPS;CORTE;2022-08-22;4;4;0;2;N
IRECE;199;STC;CORTE;2022-08-25;7;7;0;5;S
IPIAU;527;EPS;CORTE;2022-08-05;11;0;11;6;N
ILHEUS;175;EPS;BAIXA;2022-08-24;1;0;1;4;N
IRECE;198;EPS;CORTE;2022-08-25;15;0;15;5;N
CAMACARI;55;EPS;CORTE;2022-08-19;21;21;0;6;N
REMANSO;389;EPS;RECORTE;2022-08-17;8;8;0;4;N
JEQUIE;266;EPS;CORTE;2022-08-15;22;21;1;2;N
ITAPOAN;254;STC;RECORTE;2022-08-17;19;10;9;4;N
CAMACARI;57;STC;CORTE;2022-08-09;9;8;1;3;N
FEIRA DE SANTANA NORTE;116;EPS;RECORTE;2022-08-03;17;16;1;4;N
PORTO SEGURO;375;EPS;CORTE;2022-08-23;18;18;0;3;N
ITAPOAN;252;EPS;DISJUNTOR;2022-08-09;28;28;0;3;N
SANTO ANTONIO DE JESUS;435;STC;CORTE;2022-08-09;19;19;0;3;N
LIVRAMENTO DE NOSSA SENHORA;309;STC;RECORTE;2022-08-11;9;9;0;5;S
VITORIA DA CONQUISTA;506;EPS;CORTE;2022-08-09;15;14;1;3;N
IRECE;209;EPS;CORTE;2022-08-16;10;9;1;3;N
JUAZEIRO;286;EPS;CORTE;2022-08-03;11;11;0;4;N
GRACA;134;EPS;CORTE;2022-08-22;23;22;1;2;N
CONCEICAO DO COITE;74;STC;CORTE;2022-08-16;5;5;0;3;N
JEQUIE;270;EPS;RECORTE;2022-08-17;9;8;1;4;N
ITABUNA;232;EPS;RECORTE;2022-08-17;8;8;0;4;N
ITABUNA;230;STC;CORTE;2022-08-03;20;20;0;4;S
BRUMADO;40;EPS;CORTE;2022-08-23;5;5;0;3;N
PAULO AFONSO;403;STC;CORTE;2022-08-15;11;11;0;2;N
TEIXEIRA DE FREITAS;484;EPS;CORTE;2022-08-10;10;9;1;4;N
GRACA;136;STC;CORTE;2022-08-12;17;15;2;6;N
SANTA MARIA DA VITORIA;418;EPS;RECORTE;2022-08-15;4;4;0;2;N
JACOBINA;264;EPS;CORTE;2022-08-12;9;8;1;6;N
PERIPERI;348;STC;RECORTE;2022-08-11;19;19;0;5;N
SERRINHA;456;EPS;CORTE;2022-08-09;6;6;0;3;N
PAULO AFONSO;345;EPS;BAIXA;2022-08-11;14;14;0;5;N
ITABUNA;230;STC;CORTE;2022-08-05;32;0;32;6;N
GRACA;132;STC;CORTE;2022-08-11;17;17;0;5;N
SANTO AMARO;422;STC;CORTE;2022-08-22;21;21;0;2;N
GRACA;131;EPS;CORTE;2022-08-09;21;20;1;3;N
LUIS EDUARDO MAGALHAES;322;EPS;CORTE;2022-08-04;8;8;0;5;N
JEQUIE;278;STC;CORTE;2022-08-08;11;11;0;2;N
ITAPETINGA;241;STC;CORTE;2022-08-08;9;7;2;2;N
VITORIA DA CONQUISTA;519;EPS;DISJUNTOR;2022-08-08;29;29;0;2;N
LUIS EDUARDO MAGALHAES;322;STC;CORTE;2022-08-18;16;16;0;5;N
SERRINHA;466;EPS;CORTE;2022-08-12;8;8;0;6;N
BOM JESUS DA LAPA;27;EPS;RECORTE;2022-08-10;7;7;0;4;N
IPIAU;189;EPS;CORTE;2022-08-16;8;8;0;3;N
FEIRA DE SANTANA NORTE;107;EPS;CORTE;2022-08-12;58;47;11;6;N
IPIAU;190;EPS;CORTE;2022-08-04;11;11;0;5;N
ITABERABA;213;STC;CORTE;2022-08-23;21;20;1;3;N
ESPLANADA;77;EPS;CORTE;2022-08-04;17;17;0;5;N
JACOBINA;259;EPS;CORTE;2022-08-23;8;8;0;3;N
FEIRA DE SANTANA NORTE;113;STC;RECORTE;2022-08-04;16;16;0;5;N
RIBEIRA DO POMBAL;399;EPS;CORTE;2022-08-17;10;10;0;4;N
CANDEIAS;58;EPS;BAIXA;2022-08-05;28;25;3;6;N
JACOBINA;263;EPS;RECORTE;2022-08-25;8;7;1;5;N
ITABERABA;216;EPS;RECORTE;2022-08-23;1;1;0;3;N
AMARGOSA;5;EPS;RECORTE;2022-08-10;10;8;2;4;N
IPIAU;532;EPS;CORTE;2022-08-19;8;8;0;6;N
IBOTIRAMA;171;EPS;CORTE;2022-08-16;6;4;2;3;N
PAULO AFONSO;326;STC;CORTE;2022-08-08;11;11;0;2;N
ITABUNA;232;EPS;BAIXA;2022-08-17;8;8;0;4;N
GUANAMBI;139;EPS;CORTE;2022-08-16;6;6;0;3;N
ITAPOAN;252;EPS;BAIXA;2022-08-25;15;11;4;5;S
SANTA MARIA DA VITORIA;417;EPS;BAIXA;2022-08-25;3;1;2;5;S
LUIS EDUARDO MAGALHAES;321;EPS;CORTE;2022-08-16;7;7;0;3;N
VITORIA DA CONQUISTA;502;STC;CORTE;2022-08-22;11;11;0;2;N
SENHOR DO BONFIM;453;EPS;CORTE;2022-08-09;6;5;1;3;N
IBOTIRAMA;156;EPS;CORTE;2022-08-24;6;5;1;4;N
ESPLANADA;79;EPS;BAIXA;2022-08-04;6;6;0;5;N
ITABERABA;213;EPS;CORTE;2022-08-09;5;5;0;3;N
BARREIRAS;18;EPS;CORTE;2022-08-05;8;0;8;6;N
ITABERABA;214;STC;CORTE;2022-08-11;11;11;0;5;N
ITABUNA;172;EPS;CORTE;2022-08-25;25;0;25;5;N
FEIRA DE SANTANA SUL;122;EPS;CORTE;2022-08-19;18;18;0;6;N
IRECE;198;EPS;RECORTE;2022-08-03;6;5;1;4;N
SANTO ANTONIO DE JESUS;9;EPS;CORTE;2022-08-08;12;12;0;2;N
AMARGOSA;11;EPS;CORTE;2022-08-11;20;20;0;5;N
CANDEIAS;59;EPS;CORTE;2022-08-17;17;15;2;4;N
ITABUNA;235;STC;CORTE;2022-08-19;16;16;0;6;N
RIBEIRA DO POMBAL;410;STC;CORTE;2022-08-22;11;11;0;2;N
SENHOR DO BONFIM;449;EPS;CORTE;2022-08-08;7;7;0;2;N
VALENCA;490;STC;RECORTE;2022-08-16;17;17;0;3;N
JACOBINA;256;EPS;CORTE;2022-08-10;9;8;1;4;N
IRECE;208;STC;CORTE;2022-08-17;18;18;0;4;S
EUNAPOLIS;87;EPS;CORTE;2022-08-11;5;2;3;5;N
JUAZEIRO;291;EPS;CORTE;2022-08-17;15;14;1;4;N
PIRAJA;354;STC;CORTE;2022-08-15;17;17;0;2;N
REMANSO;392;STC;CORTE;2022-08-17;20;19;1;4;S
BOM JESUS DA LAPA;23;STC;RECORTE;2022-08-23;16;14;2;3;N
ALAGOINHAS;4;STC;RECORTE;2022-08-23;16;16;0;3;N
IRECE;194;STC;CORTE;2022-08-15;10;10;0;2;N
FEIRA DE SANTANA NORTE;109;STC;RECORTE;2022-08-03;1;1;0;4;N
ITABERABA;213;STC;RECORTE;2022-08-24;21;20;1;4;N
IPIAU;189;EPS;RECORTE;2022-08-17;8;7;1;4;N
AMARGOSA;10;EPS;CORTE;2022-08-23;5;5;0;3;N
SENHOR DO BONFIM;449;STC;CORTE;2022-08-22;11;10;1;2;N
JACOBINA;255;EPS;CORTE;2022-08-22;8;8;0;2;N
GRACA;135;EPS;BAIXA;2022-08-11;2;2;0;5;N
BOM JESUS DA LAPA;27;EPS;BAIXA;2022-08-10;2;2;0;4;N
FEIRA DE SANTANA NORTE;106;EPS;RECORTE;2022-08-25;35;35;0;5;N
FEIRA DE SANTANA NORTE;108;STC;RECORTE;2022-08-15;20;18;2;2;N
BRUMADO;39;EPS;CORTE;2022-08-12;8;8;0;6;N
ITAPOAN;253;STC;RECORTE;2022-08-04;8;1;7;5;S
TEIXEIRA DE FREITAS;473;STC;RECORTE;2022-08-09;10;5;5;3;S
PERIPERI;349;EPS;CORTE;2022-08-09;16;16;0;3;N
VITORIA DA CONQUISTA;512;STC;CORTE;2022-08-25;11;11;0;5;N
BOM JESUS DA LAPA;33;STC;CORTE;2022-08-25;16;16;0;5;N
BOM JESUS DA LAPA;32;EPS;CORTE;2022-08-23;4;4;0;3;N
CONCEICAO DO COITE;64;EPS;CORTE;2022-08-24;7;7;0;4;N
IRECE;193;STC;CORTE;2022-08-25;7;7;0;5;S
FEIRA DE SANTANA SUL;124;STC;CORTE;2022-08-09;1;1;0;3;N
IBOTIRAMA;169;STC;CORTE;2022-08-05;9;0;9;6;N
JUAZEIRO;292;EPS;CORTE;2022-08-05;18;0;18;6;N
REMANSO;392;EPS;CORTE;2022-08-05;24;0;24;6;N
SANTO AMARO;425;EPS;BAIXA;2022-08-22;19;0;19;2;N
PIRAJA;352;EPS;CORTE;2022-08-25;12;0;12;5;N
IRECE;192;EPS;CORTE;2022-08-25;12;0;12;5;N
PITUBA;356;STC;CORTE;2022-08-12;38;33;5;6;N
LAURO DE FREITAS;296;EPS;CORTE;2022-08-08;24;23;1;2;N
PAULO AFONSO;331;STC;CORTE;2022-08-22;16;15;1;2;N
PERIPERI;347;EPS;DISJUNTOR;2022-08-16;44;41;3;3;N
LAURO DE FREITAS;296;STC;CORTE;2022-08-22;16;16;0;2;N
IRECE;204;STC;CORTE;2022-08-18;21;21;0;5;N
IPIAU;189;EPS;BAIXA;2022-08-17;4;4;0;4;N
POSTO DA MATA;383;EPS;CORTE;2022-08-22;6;6;0;2;N
SERRINHA;457;EPS;CORTE;2022-08-22;6;6;0;2;N
ITABUNA;172;EPS;CORTE;2022-08-02;16;16;0;3;N
ESPLANADA;82;EPS;CORTE;2022-08-18;13;12;1;5;N
AMARGOSA;6;EPS;CORTE;2022-08-22;5;5;0;2;N
PAULO AFONSO;345;EPS;CORTE;2022-08-12;8;8;0;6;N
VALENCA;495;EPS;CORTE;2022-08-15;19;18;1;2;N
ALAGOINHAS;2;EPS;CORTE;2022-08-09;27;27;0;3;N
FEIRA DE SANTANA NORTE;116;STC;DISJUNTOR;2022-08-22;15;13;2;2;S
AMARGOSA;10;EPS;RECORTE;2022-08-24;25;23;2;4;N
JUAZEIRO;291;EPS;RECORTE;2022-08-18;8;8;0;5;N
ILHEUS;186;EPS;CORTE;2022-08-16;23;20;3;3;N
POSTO DA MATA;385;STC;CORTE;2022-08-12;18;17;1;6;N
ILHEUS;174;STC;CORTE;2022-08-02;9;9;0;3;N
GRACA;130;EPS;BAIXA;2022-08-22;2;2;0;2;N
JUAZEIRO;287;EPS;CORTE;2022-08-16;11;11;0;3;N
IRECE;193;EPS;RECORTE;2022-08-12;12;11;1;6;S
IRECE;203;EPS;CORTE;2022-08-16;10;10;0;3;N
VITORIA DA CONQUISTA;500;EPS;CORTE;2022-08-09;15;15;0;3;N
SANTO AMARO;420;EPS;CORTE;2022-08-09;11;10;1;3;N
ILHEUS;187;EPS;CORTE;2022-08-04;8;0;8;5;N
JUAZEIRO;288;STC;CORTE;2022-08-18;1;1;0;5;N
LIVRAMENTO DE NOSSA SENHORA;305;EPS;CORTE;2022-08-22;2;2;0;2;N
SANTO AMARO;423;EPS;DISJUNTOR;2022-08-05;6;0;6;6;N
PAULO AFONSO;335;STC;RECORTE;2022-08-24;14;14;0;4;N
SENHOR DO BONFIM;454;EPS;CORTE;2022-08-22;20;19;1;2;N
GUANAMBI;142;STC;CORTE;2022-08-19;21;20;1;6;N
ALAGOINHAS;2;EPS;RECORTE;2022-08-10;32;30;2;4;N
VALENCA;492;EPS;CORTE;2022-08-02;18;17;1;3;N
BRUMADO;46;STC;CORTE;2022-08-16;11;11;0;3;N
PAULO AFONSO;328;STC;CORTE;2022-08-09;11;9;2;3;N
IPIAU;526;EPS;CORTE;2022-08-19;8;8;0;6;N
VALENCA;493;EPS;DISJUNTOR;2022-08-22;21;21;0;2;N
ITAPOAN;254;EPS;CORTE;2022-08-04;23;22;1;5;N
BARREIRAS;21;STC;CORTE;2022-08-08;13;12;1;2;N
PAULO AFONSO;407;EPS;CORTE;2022-08-04;7;6;1;5;N
ESPLANADA;79;STC;CORTE;2022-08-19;13;12;1;6;N
ALAGOINHAS;2;STC;RECORTE;2022-08-22;8;8;0;2;S
SANTO AMARO;420;EPS;RECORTE;2022-08-10;14;14;0;4;N
IRECE;199;EPS;CORTE;2022-08-15;11;10;1;2;N
ITAPOAN;253;EPS;CORTE;2022-08-16;19;16;3;3;N
ILHEUS;186;EPS;RECORTE;2022-08-17;9;8;1;4;N
BRUMADO;46;EPS;CORTE;2022-08-02;6;6;0;3;N
LAURO DE FREITAS;296;STC;RECORTE;2022-08-23;16;12;4;3;N
LAURO DE FREITAS;297;STC;RECORTE;2022-08-11;16;16;0;5;N
PAULO AFONSO;340;EPS;CORTE;2022-08-23;8;8;0;3;N
CANDEIAS;59;EPS;BAIXA;2022-08-18;4;4;0;5;N
JEQUIE;278;EPS;CORTE;2022-08-19;14;12;2;6;N
IRECE;203;EPS;RECORTE;2022-08-17;5;5;0;4;N
SEABRA;444;EPS;CORTE;2022-08-09;5;5;0;3;N
RIBEIRA DO POMBAL;409;EPS;BAIXA;2022-08-19;17;0;17;6;S
VITORIA DA CONQUISTA;521;EPS;CORTE;2022-08-03;22;21;1;4;N
SEABRA;440;STC;CORTE;2022-08-22;21;21;0;2;N
ITAPOAN;251;EPS;DISJUNTOR;2022-08-23;16;16;0;3;N
GRACA;137;STC;CORTE;2022-08-02;34;30;4;3;N
SANTO ANTONIO DE JESUS;434;STC;CORTE;2022-08-23;19;18;1;3;N
ITAPETINGA;244;STC;CORTE;2022-08-23;11;11;0;3;N
GUANAMBI;138;STC;CORTE;2022-08-18;21;21;0;5;N
GUANAMBI;152;STC;CORTE;2022-08-22;21;21;0;2;N
RIBEIRA DO POMBAL;404;STC;CORTE;2022-08-22;11;11;0;2;N
BRUMADO;42;STC;CORTE;2022-08-15;11;11;0;2;N
FEIRA DE SANTANA SUL;125;STC;CORTE;2022-08-22;1;1;0;2;N
SANTO ANTONIO DE JESUS;435;STC;CORTE;2022-08-11;19;18;1;5;N
PAULO AFONSO;402;EPS;CORTE;2022-08-15;8;8;0;2;N
ITAPOAN;252;EPS;DISJUNTOR;2022-08-11;30;29;1;5;N
SENHOR DO BONFIM;451;STC;CORTE;2022-08-23;11;11;0;3;N
SEABRA;444;EPS;RECORTE;2022-08-10;3;3;0;4;N
SANTO ANTONIO DE JESUS;434;EPS;CORTE;2022-08-09;10;10;0;3;N
BOM JESUS DA LAPA;27;EPS;CORTE;2022-08-11;5;5;0;5;N
IBOTIRAMA;162;EPS;CORTE;2022-08-03;3;3;0;4;N
ITAPOAN;253;EPS;RECORTE;2022-08-17;19;14;5;4;N
IRECE;203;EPS;BAIXA;2022-08-17;6;6;0;4;N
ALAGOINHAS;2;EPS;BAIXA;2022-08-10;5;5;0;4;N
BRUMADO;46;EPS;RECORTE;2022-08-03;4;4;0;4;N
VITORIA DA CONQUISTA;521;EPS;BAIXA;2022-08-25;28;26;2;5;S
CANDEIAS;58;STC;RECORTE;2022-08-19;5;3;2;6;S
ITABERABA;217;EPS;CORTE;2022-08-12;5;5;0;6;N
CONCEICAO DO COITE;64;STC;RECORTE;2022-08-16;11;10;1;3;N
IRECE;211;STC;CORTE;2022-08-08;11;11;0;2;N
ITAPETINGA;245;STC;CORTE;2022-08-11;9;9;0;5;N
GUANAMBI;142;STC;RECORTE;2022-08-18;8;7;1;5;S
VITORIA DA CONQUISTA;506;STC;CORTE;2022-08-25;10;10;0;5;N
BRUMADO;44;EPS;DISJUNTOR;2022-08-09;5;3;2;3;N
PAULO AFONSO;338;STC;CORTE;2022-08-12;7;7;0;6;N
ITAPOAN;251;STC;CORTE;2022-08-05;19;0;19;6;N
ITABUNA;229;EPS;CORTE;2022-08-05;8;0;8;6;N
ILHEUS;186;EPS;BAIXA;2022-08-17;10;0;10;4;N
PORTO SEGURO;375;EPS;CORTE;2022-08-25;7;0;7;5;N
CAMACARI;52;EPS;CORTE;2022-08-08;25;25;0;2;N
GRACA;130;EPS;CORTE;2022-08-23;66;62;4;3;N
PAULO AFONSO;325;EPS;CORTE;2022-08-08;10;9;1;2;N
GRACA;131;EPS;CORTE;2022-08-11;21;19;2;5;N
PITUBA;359;EPS;DISJUNTOR;2022-08-19;19;19;0;6;N
SANTO ANTONIO DE JESUS;430;STC;CORTE;2022-08-22;13;12;1;2;N
